,0
0,2642.463107688476
1,2439.196714789363
2,1422.864750293795
3,406.5327857982271
4,0.0
5,0.0
6,0.0
7,0.0
8,304.89958934867036
9,609.7991786973407
10,1524.4979467433516
11,2235.930321890249
12,2670.16175984706
13,2464.764701397286
14,1437.7794091484168
15,410.79411689954765
16,0.0
17,0.0
18,0.0
19,0.0
20,308.09558767466075
21,616.1911753493215
22,1540.4779383733037
23,2259.3676429475117
24,2627.423727308129
25,2425.3142098228886
26,1414.7666223966846
27,404.21903497048135
28,0.0
29,0.0
30,0.0
31,0.0
32,303.1642762278611
33,606.3285524557222
34,1515.821381139305
35,2223.2046923376474
36,2785.9910498674512
37,2571.6840460314934
38,1500.149026851704
39,428.61400767191554
40,0.0
41,0.0
42,0.0
43,0.0
44,321.4605057539367
45,642.9210115078733
46,1607.3025287696832
47,2357.3770421955355
48,2782.685730427609
49,2568.6329819331777
50,1498.36923946102
51,428.10549698886285
52,0.0
53,0.0
54,0.0
55,0.0
56,321.0791227416472
57,642.1582454832944
58,1605.3956137082357
59,2354.580233438746
60,2708.781108853095
61,2500.4133312490108
62,1458.5744432285892
63,416.73555520816836
64,0.0
65,0.0
66,0.0
67,0.0
68,312.55166640612634
69,625.1033328122527
70,1562.7583320306314
71,2292.0455536449263
72,2722.707751687478
73,2513.268693865364
74,1466.0734047547955
75,418.87811564422725
76,0.0
77,0.0
78,0.0
79,0.0
80,314.1585867331705
81,628.317173466341
82,1570.7929336658522
83,2303.82963604325
84,2816.7133823181557
85,2600.043122139836
86,1516.6918212482376
87,433.3405203566393
88,0.0
89,0.0
90,0.0
91,0.0
92,325.0053902674795
93,650.010780534959
94,1625.0269513373973
95,2383.372861961516
96,2965.3164339576438
97,2737.2151698070556
98,1596.7088490541157
99,456.2025283011759
100,0.0
101,0.0
102,0.0
103,0.0
104,342.15189622588196
105,684.3037924517639
106,1710.7594811294096
107,2509.1139056564675
108,2808.010489044691
109,2592.0096821950997
110,1512.0056479471411
111,432.0016136991832
112,0.0
113,0.0
114,0.0
115,0.0
116,324.00121027438746
117,648.0024205487749
118,1620.006051371937
119,2376.0088753455075
120,3032.4764913315867
121,2799.2090689214647
122,1632.871956870854
123,466.534844820244
124,0.0
125,0.0
126,0.0
127,0.0
128,349.9011336151831
129,699.8022672303662
130,1749.5056680759153
131,2565.9416465113422
132,2930.6367743102423
133,2705.2031762863776
134,1578.0351861670533
135,450.8671960477295
136,0.0
137,0.0
138,0.0
139,0.0
140,338.1503970357972
141,676.3007940715944
142,1690.7519851789857
143,2479.7695782625124
144,3139.330905207158
145,2897.843912498915
146,1690.4089489577002
147,482.97398541648573
148,0.0
149,0.0
150,0.0
151,0.0
152,362.23048906236437
153,724.4609781247287
154,1811.1524453118216
155,2656.356919790672
156,2968.1825849136467
157,2739.860847612597
158,1598.252161107348
159,456.64347460209945
160,0.0
161,0.0
162,0.0
163,0.0
164,342.4826059515746
165,684.9652119031492
166,1712.413029757873
167,2511.5391103115467
168,2950.5507161631217
169,2723.585276458266
170,1588.7580779339883
171,453.93087940971094
172,0.0
173,0.0
174,0.0
175,0.0
176,340.44815955728325
177,680.8963191145665
178,1702.2407977864161
179,2496.6198367534103
180,2928.109610449011
181,2702.870409645241
182,1576.6744056263904
183,450.4784016075401
184,0.0
185,0.0
186,0.0
187,0.0
188,337.85880120565514
189,675.7176024113103
190,1689.2940060282754
191,2477.63120884147
192,3124.815965960629
193,2884.445507040581
194,1682.5932124403387
195,480.7409178400967
196,0.0
197,0.0
198,0.0
199,0.0
200,360.55568838007264
201,721.1113767601453
202,1802.7784419003628
203,2644.075048120532
204,3170.9115678565377
205,2926.995293406035
206,1707.4139211535203
207,487.8325489010058
208,0.0
209,0.0
210,0.0
211,0.0
212,365.8744116757544
213,731.7488233515088
214,1829.3720583787717
215,2683.079018955532
216,3241.0114978507713
217,2991.7029210930195
218,1745.160037304261
219,498.6171535155032
220,0.0
221,0.0
222,0.0
223,0.0
224,373.96286513662744
225,747.9257302732549
226,1869.814325683137
227,2742.3943443352678
228,3211.37355761415
229,2964.344822413061
230,1729.2011464076188
231,494.0574704021768
232,0.0
233,0.0
234,0.0
235,0.0
236,370.54310280163264
237,741.0862056032653
238,1852.715514008163
239,2717.3160872119724
240,3074.2817899585853
241,2837.7985753463863
242,1655.3825022853919
243,472.9664292243977
244,0.0
245,0.0
246,0.0
247,0.0
248,354.7248219182983
249,709.4496438365966
250,1773.6241095914913
251,2601.3153607341874
252,3083.597138492623
253,2846.397358608575
254,1660.3984591883352
255,474.3995597680958
256,0.0
257,0.0
258,0.0
259,0.0
260,355.79966982607186
261,711.5993396521437
262,1778.9983491303592
263,2609.197578724527
264,3333.6435868503077
265,3077.209464784899
266,1795.0388544578577
267,512.8682441308165
268,0.0
269,0.0
270,0.0
271,0.0
272,384.65118309811237
273,769.3023661962247
274,1923.255915490562
275,2820.7753427194907
276,3315.4235040423373
277,3060.3909268083116
278,1785.2280406381817
279,510.06515446805184
280,0.0
281,0.0
282,0.0
283,0.0
284,382.54886585103895
285,765.0977317020779
286,1912.7443292551945
287,2805.3583495742855
288,3286.509545833306
289,3033.701119230744
290,1769.6589862179337
291,505.61685320512396
292,0.0
293,0.0
294,0.0
295,0.0
296,379.212639903843
297,758.425279807686
298,1896.0631995192145
299,2780.8926926281815
300,3343.4768734249665
301,3086.2863446999686
302,1800.3337010749817
303,514.3810574499948
304,0.0
305,0.0
306,0.0
307,0.0
308,385.7857930874961
309,771.5715861749921
310,1928.9289654374804
311,2829.095815974971
312,3333.2198796471353
313,3076.818350443509
314,1794.81070442538
315,512.8030584072515
316,0.0
317,0.0
318,0.0
319,0.0
320,384.60229380543865
321,769.2045876108773
322,1923.0114690271928
323,2820.4168212398827
324,3529.81957179247
325,3258.2949893468954
326,1900.672077119022
327,543.0491648911492
328,0.0
329,0.0
330,0.0
331,0.0
332,407.2868736683619
333,814.5737473367238
334,2036.4343683418094
335,2986.7704069013203
336,3275.5903675439263
337,3023.621877732855
338,1763.7794286774986
339,503.9369796221425
340,0.0
341,0.0
342,0.0
343,0.0
344,377.95273471660687
345,755.9054694332137
346,1889.7636735830342
347,2771.6533879217836
348,3416.4324092024076
349,3153.629916186838
350,1839.6174511089885
351,525.6049860311396
352,0.0
353,0.0
354,0.0
355,0.0
356,394.2037395233547
357,788.4074790467095
358,1971.0186976167734
359,2890.827423171268
360,3445.761824010305
