,0
0,19.410836688663508
1,20.464531188790783
2,22.37657646704874
3,24.812341648113534
4,27.394429297805452
5,29.8123159596071
6,31.907677694832273
7,33.70710287212266
8,35.39060300432409
9,37.21053065602218
10,39.3949270540901
11,42.069731716700375
12,45.2244590847156
13,48.72465628075908
14,52.35807681201301
15,55.89240983940924
16,59.124993409483025
17,61.91645803482753
18,64.2049354364236
19,66.00611471587418
20,67.40049141181761
21,68.5118209579241
22,69.47925456838456
23,70.4296088480115
24,71.45875199450958
25,72.62144093465665
26,73.92462227675969
27,75.31829376110278
28,76.68791642633632
29,77.85867830372143
30,78.62638721532511
31,78.81894122910039
32,78.37186608773101
33,77.3838212973912
34,76.11978673351739
35,74.94672650433048
36,74.22194047479933
37,74.17540393579289
38,74.83402730309433
39,76.02001742246506
40,77.42512813477637
41,78.73135311989807
42,79.72838501750101
43,80.37908399040836
44,80.80657943508713
45,81.21638691383401
46,81.79764772466847
47,82.65207829056527
48,83.77504438831852
49,85.08090597282036
50,86.44759008132958
51,87.75555397988668
52,88.91203653039358
53,89.86045733933292
54,90.58242734466788
55,91.09217075126338
56,91.42665908897251
57,91.63240093725793
58,91.75393283955616
59,91.82610647598301
60,91.87259598808048
61,91.90698893185026
62,91.93642096711868
63,91.964361458524
64,91.9922974345648
65,92.02076819936738
66,92.0500083841337
67,92.0799286971565
68,92.11043546384343
69,92.14148793368368
70,92.17306582381293
71,92.2050737449708
72,92.23727125699313
73,92.2692966148239
74,92.3007830236242
75,92.3315010140041
76,92.36144747305765
77,92.39083577646738
78,92.41999576543323
79,92.4492330470341
80,92.47871773284609
81,92.5084567047507
82,92.53835871963557
83,92.56834297393426
84,92.59841137827631
85,92.6286336977637
86,92.65906399453091
87,92.68965956574212
88,92.7202706601544
89,92.7507174057072
90,92.78090460909112
91,92.81091955808398
92,92.84105187500195
93,92.87171812911494
94,92.90330239543874
95,92.93595969613456
96,92.96946541692662
97,93.00318327352205
98,93.03618662145735
99,93.06749818950462
100,93.09637289700967
101,93.12252318689177
102,93.14620651862379
103,93.16815535114347
104,93.18936330193333
105,93.21103057490245
106,93.2346670685295
107,93.26248150073103
108,93.29927807464914
109,93.35547660860294
110,93.451830225783
111,93.62494024368654
112,93.92957812593494
113,94.4345645004851
114,95.20781028641457
115,96.29313461445139
116,97.68990621433203
117,99.34876865119628
118,101.18974441872517
119,103.1331494114271
120,105.12267246142815
121,107.12497809834687
122,109.10894412612159
123,111.02397220613464
124,112.79632046127689
125,114.34667697725585
126,115.61619710972327
127,116.58456463743332
128,117.27189998520188
129,117.72722812009818
130,118.01140801554153
131,118.18265127342147
132,118.28814137653823
133,118.36196684729128
134,118.42818788613054
135,118.5056761847476
136,118.6126874688358
137,118.76950101684496
138,118.99798588808437
139,119.32048944271193
140,119.75830341795154
141,120.33003240533694
142,121.04813276868363
143,121.9126629840741
144,122.90428096760795
145,123.98340428393894
146,125.10165592906044
147,126.22366896052327
148,127.34964653680204
149,128.52576010316403
150,129.8346470755099
151,131.36722892670855
152,133.18456993682346
153,135.2828642144699
154,137.57599915518892
155,139.90685841506615
156,142.08741832873812
157,143.9534153990653
158,145.40934332558814
159,146.44461604081425
160,147.11773062945247
161,147.52184999683485
162,147.7511217088191
163,147.87995850251167
164,147.95741726929978
165,148.0114515431154
166,148.05603699293633
167,148.097577850317
168,148.13870158888457
169,148.180461149939
170,148.223190172053
171,148.26672746535058
172,148.31078270766614
173,148.3550215849222
174,148.3991589317998
175,148.44305198855713
176,148.4867513712438
177,148.53046562857548
178,148.57442735989252
179,148.61871519848177
180,148.66310729289256
181,148.70704643131907
182,148.7497664684542
183,148.7905511183321
184,148.8290345412192
185,148.8653911474559
186,148.90031188737174
187,148.93477386760105
188,148.96972594863865
189,149.0058502836115
190,149.04348288454432
191,149.08266577701116
192,149.12326247211774
193,149.16505720555472
194,149.20783277241827
195,149.25142453031816
196,149.29574374198953
197,149.3407479971183
198,149.38636458106345
199,149.43240876533514
200,149.47854749545888
201,149.52433077013956
202,149.56926702386806
203,149.61290558339957
204,149.6549102721286
205,149.695130488055
206,149.73366234347947
207,149.7708600638203
208,149.80727280236334
209,149.8435201542951
210,149.8801564132372
211,149.9176717927927
212,149.95657925226106
213,149.99766393917793
214,150.04298300810984
215,150.0975115423346
216,150.17174546683276
217,150.28459386878714
218,150.46473834996692
219,150.7476780584975
220,151.16640070460392
221,151.73704136254767
222,152.44509917707597
223,153.2416898938372
224,154.05438910011014
225,154.81149168873313
226,155.46913576303743
227,156.0296467459504
228,156.54446776624442
229,157.10199307095303
230,157.8043313276076
231,158.73844298496647
232,159.94741017807442
233,161.4103652300992
234,163.04107563079643
235,164.71023006704945
236,166.2856205497116
237,167.67390227890368
238,168.84644882197176
239,169.83960644113063
240,170.73532628605238
241,171.6345606186604
242,172.63438530801724
243,173.8113329264059
244,175.2077559105897
245,176.81963374251353
246,178.58959771174477
247,180.41378638611485
248,182.16458176281637
249,183.72675674529538
250,185.03200849223555
251,186.07989216785734
252,186.93855779789942
253,187.7262541095644
254,188.58063032247776
255,189.6229470124833
256,190.92495015417282
257,192.48801505112147
258,194.24305028818696
259,196.073143263545
260,197.8503823663545
261,199.4703941117351
262,200.8704850954185
263,202.0281408265904
264,202.94879914232723
265,203.6531617072488
266,204.1701472098473
267,204.53398037522055
268,204.7816121198966
269,204.94865489714113
270,205.0649752372255
271,205.15221761149434
272,205.22363861465524
273,205.28652775420463
274,205.3443687302153
275,205.39914060569316
276,205.45248656508255
277,205.50586832668617
278,205.560607252708
279,205.61753501401262
280,205.6769737666763
281,205.73875844886226
282,205.80235054578586
283,205.86699874184504
284,205.93193024606035
285,205.9965408084312
286,206.0605159000565
287,206.12382717490232
288,206.1865839761492
289,206.24882884252784
290,206.31040035190597
291,206.37094931766867
292,206.4300901987183
293,206.4875885664025
294,206.54352312387758
295,206.59837786654927
296,206.653030269302
297,206.70859544372942
298,206.76612371325805
299,206.82622895733124
300,206.88883704472642
301,206.95322298827116
302,207.01836595029516
303,207.0834506712326
304,207.14822895563992
305,207.21303733387867
306,207.2784701701313
307,207.34494808907976
308,207.41246755142808
309,207.48066124558193
310,207.54905823309662
311,207.6173168146239
312,207.68526894690712
313,207.7528235296946
314,207.81986586449835
315,207.88623553921911
316,207.9517719449047
317,208.0163597208261
318,208.0799796507668
319,208.1427664281803
320,208.20506105735308
321,208.26736723568138
322,208.33017633999162
323,208.3937285364645
324,208.45785908950745
325,208.5220574534635
326,208.58569885829448
327,208.64831034791098
328,208.70972527281458
329,208.77007238190106
330,208.82967470514464
331,208.8889736989748
332,208.94852049104588
333,209.00900014992777
334,209.07119751857732
335,209.1358555405478
336,209.20348047463807
337,209.27420546238483
338,209.34778278427328
339,209.42370660224168
340,209.50137954855748
341,209.58022623237207
342,209.659723779174
343,209.73937923052583
344,209.81874454691268
345,209.89749802960864
346,209.97553347665368
347,210.05293945367578
348,210.12981144986907
349,210.20599161023677
350,210.28091599257135
351,210.35369957998657
352,210.42339889226884
353,210.4892168063387
354,210.55046752161957
355,210.60627816818334
356,210.6552371988486
357,210.69527025696812
358,210.723910623618
359,210.73890579830714
