,PC0,PC1,PC2,PC3,PC4
0,15.923046603218308,17.993042661636686,16.40073800131486,17.35612079750796,18.948425457829785
1,17.68029310870576,19.97873121283751,18.210701901966935,19.271519488489282,21.039548799359856
2,20.84527134601584,23.555156620997895,21.470629486396316,22.721345767157267,24.805872901758846
3,24.749330644279098,27.966743628035378,25.491810563607473,26.97677040226422,29.451703466692127
4,28.55073750786679,32.26233338388947,29.407259633102793,31.120303883574802,33.97537763436148
5,31.52695750078294,35.62546197588472,32.47276622580643,34.36438367585341,37.5170794259317
6,33.37290674592074,37.71138462289043,34.37409394829836,36.3764683530536,39.71375902764567
7,34.295553804911165,38.753975799549615,35.3244204190585,37.38215364735317,40.81170902784429
8,34.8632848520816,39.395511882852205,35.90918339764405,38.000980488768946,41.4873089739771
9,35.7535235101997,40.40148156652565,36.82612921550569,38.97134062611767,42.54669297713764
10,37.50688376200304,42.38277865106343,38.63209027486313,40.882503300583316,44.63319167678362
11,40.33516077596901,45.578731676844974,41.54521559924808,43.96532524580622,47.99884132340312
12,44.08426069331396,49.81521458344477,45.40678851411338,48.05184415571222,52.46027022504361
13,48.378237655292324,54.66740855048032,49.829584784951095,52.73227904426864,57.57010280979786
14,52.789153135911164,59.65174304357961,54.3728277299885,57.540176918143175,62.81909223173428
15,56.930117109463886,64.33103233369418,58.6380206227478,62.05382764931564,67.74683936026202
16,60.5238807440281,68.39198524075175,62.339597166348945,65.97103001099063,72.02341808539343
17,63.44676952018666,71.69484955781093,65.35017260579227,69.15697877700347,75.50165572902213
18,65.67683215638951,74.21482033672014,67.6471371210812,71.58774705046457,78.15543026610351
19,67.22695538505049,75.96645958510705,69.24376404660201,73.27738136970504,80.00007690821008
20,68.19883063240475,77.06467861461736,70.2447955513769,74.33672538932119,81.15660845256164
21,68.8677133488007,77.82051608414478,70.93374474926473,75.06580755019277,81.95257888507284
22,69.59424450372785,78.64149628921247,71.68207183883969,75.85772650906337,82.81715095943613
23,70.60148413910254,79.77967707718587,72.71952866327561,76.95561771162177,84.01576612553201
24,71.87642345461114,81.22035850371059,74.03271615824949,78.34530156552616,85.53294391098726
25,73.29619358312277,82.82469874892872,75.49507939061645,79.89285100560383,87.22247036391609
26,74.7909912186926,84.51382007712263,77.03472095525338,81.52218042837494,89.00127955024419
27,76.38337652430819,86.31321547246824,78.67487782003744,83.25788041149593,90.89621806392674
28,78.1404310327347,88.2986870669902,80.48464396371674,85.17306982568083,92.98711292895429
29,80.09562955236629,90.5080613941739,82.49849843893728,87.30423621207926,95.31379916731588
30,82.14936146432466,92.82877845468686,84.61384230825439,89.54280399611388,97.75774014254634
31,84.04374710794116,94.9694342319735,86.56505952117939,91.60768434765586,100.01205905844998
32,85.50217406729747,96.61745669604613,88.0672392893164,93.19736973335425,101.747587140084
33,86.41539270474406,97.64939375636078,89.00785448588638,94.19277804817104,102.83431731864543
34,86.87804026651992,98.1721855011675,89.48438147451552,94.69706389050671,103.3848679171587
35,87.07225166111864,98.39164437706405,89.6844192109522,94.90875431061933,103.61597947673118
36,87.14766920132556,98.47686619749787,89.76209927736532,94.99095942944486,103.7057263495774
37,87.18616801539659,98.52036985739814,89.80175305585848,95.03292313678229,103.75153993832194
38,87.2247639393352,98.56398325144878,89.84150685751526,95.07499269387537,103.79746908780889
39,87.28423679782513,98.63118758154239,89.90276390175988,95.1398181096294,103.8682417894119
40,87.37888266828412,98.73813741516105,90.00024914833264,95.2429821084297,103.98087037525809
41,87.50988720173162,98.88617253795671,90.13518381778357,95.38577704988747,104.13676577006062
42,87.65904598945706,99.05472196808647,90.28881736914077,95.5483601285082,104.31426472745389
43,87.797643437529,99.21133708440776,90.43157274065487,95.69943134690662,104.47919569065951
44,87.90520478649877,99.3328814087436,90.54236093009374,95.81667321728366,104.60719369593353
45,87.97991869964208,99.41730813059554,90.61931626063135,95.89811138260988,104.69610325257408
46,88.03607877969147,99.48076902105134,90.67716114308222,95.9593258698637,104.76293374783283
47,88.10141232217183,99.55459592405415,90.74445469183698,96.0305394311673,104.84068066338446
