,Total,Mismatch,Opex,Coal,Coal Cost,CO2
0,2336.4,0,59.56666666666666,26909.229746344143,1076.3691898537656,36.86564475249148
1,992.2428983103151,0,59.56666666666666,24777.90060310691,991.1160241242765,33.94572382625647
2,570.2884661789456,0,59.56666666666666,14247.428181912162,569.8971272764865,19.518976609219663
3,148.9524317450201,0,59.56666666666666,3629.5367537056895,145.1814701482276,4.972465352576795
4,5.842086854611997,0,59.56666666666666,0.0,0.0,0.0
5,5.813787947799899,0,59.56666666666666,0.0,0.0,0.0
6,5.785626120108104,0,59.56666666666666,0.0,0.0,0.0
7,5.75760070752915,0,59.56666666666666,0.0,0.0,0.0
8,102.09639914869608,0,59.56666666666666,2504.595056551041,100.18380226204165,3.431295227474927
9,227.167856412243,0,59.56666666666666,5783.973214801514,231.35892859206055,7.924043304278074
10,589.2112684550094,0,59.56666666666666,15314.279795761831,612.5711918304733,20.98056332019371
11,868.887423982911,0,59.56666666666666,22765.06510395861,910.6026041583443,31.188139192423296
12,1022.9500819862237,0,59.56666666666666,26959.260505968265,1078.3704202387305,36.93418689317653
13,937.943242507821,0,59.56666666666666,24827.564643039303,993.1025857215722,34.013763560963845
14,539.850385047499,0,59.56666666666666,14296.728190165819,571.8691276066328,19.586517620527175
15,142.3411964350476,0,59.56666666666666,3678.4753985907914,147.13901594363165,5.039511296069385
16,5.511402693030185,0,59.56666666666666,0.0,0.0,0.0
17,5.484705611131979,0,59.56666666666666,0.0,0.0,0.0
18,5.458137849158587,0,59.56666666666666,0.0,0.0,0.0
19,5.431698780687877,0,59.56666666666666,0.0,0.0,0.0
20,98.02958029295806,0,59.56666666666666,2551.76622969742,102.0706491878968,3.495919734685466
21,216.000737548525,0,59.56666666666666,5830.798628694887,233.2319451477955,7.988194121311996
22,557.5305949871529,0,59.56666666666666,15360.761984777604,614.4304793911042,21.04424391914532
23,821.3557426653894,0,59.56666666666666,22811.206583895506,912.4482633558202,31.251353019936847
24,966.6778369829533,0,59.56666666666666,27005.0637741845,1080.20255096738,36.99693737063277
25,886.4629127277897,0,59.56666666666666,24873.032178587735,994.9212871435094,34.0760540846652
26,510.8840608155536,0,59.56666666666666,14341.86245392815,573.674498157126,19.648351561881565
27,135.8560772260294,0,59.56666666666666,3723.2788334107295,148.9311533364292,5.100892001772699
28,5.1994365028586635,0,59.56666666666666,0.0,0.0,0.0
29,5.174250576539602,0,59.56666666666666,0.0,0.0,0.0
30,5.149186650149609,0,59.56666666666666,0.0,0.0,0.0
31,5.124244132724411,0,59.56666666666666,0.0,0.0,0.0
32,93.9595507329352,0,59.56666666666666,2594.9515403329247,103.79806161331699,3.555083610256107
33,205.2351449427817,0,59.56666666666666,5873.667395989403,234.94669583957614,8.046924332505483
34,527.415391175495,0,59.56666666666666,15403.316528957275,616.1326611582911,21.10254364467147
35,776.2895226886784,0,59.56666666666666,22853.44920817948,914.1379683271792,31.309225415205894
36,913.3685334731443,0,59.56666666666666,27046.996764909607,1081.8798705963843,37.05438556792616
37,837.6769820686128,0,59.56666666666666,24914.657805332212,996.5863122132885,34.13308119330513
38,483.34042339302925,0,59.56666666666666,14383.18296963448,575.3273187853791,19.704960668399238
39,129.52375679541012,0,59.56666666666666,3764.296474507602,150.57185898030409,5.157086170075415
40,4.905128776281758,0,59.56666666666666,0.0,0.0,0.0
41,4.881368468433586,0,59.56666666666666,0.0,0.0,0.0
42,4.857723254858121,0,59.56666666666666,0.0,0.0,0.0
43,4.834192578041897,0,59.56666666666666,0.0,0.0,0.0
44,89.91831008668632,0,59.56666666666666,2634.4877852530535,105.37951141012215,3.6092482657966833
45,194.87978235709994,0,59.56666666666666,5912.9138447989335,236.51655379195734,8.100691967374539
46,498.8080956649775,0,59.56666666666666,15442.275305828236,617.6910122331294,21.155917168984686
47,733.5798828747376,0,59.56666666666666,22892.122421713975,915.684896868559,31.36220771774815
48,862.8847587023075,0,59.56666666666666,27085.386508253916,1083.4154603301567,37.10697951630787
49,791.4628704843146,0,59.56666666666666,24952.7661562901,998.1106462516041,34.185289634117446
50,457.1685131110724,0,59.56666666666666,14421.011990779656,576.8404796311862,19.75678642736813
51,123.36479700063381,0,59.56666666666666,3801.8482132953422,152.0739285318137,5.208532052214619
52,4.627479977624299,0,59.56666666666666,0.0,0.0,0.0
53,4.605064592861874,0,59.56666666666666,0.0,0.0,0.0
54,4.5827577876020005,0,59.56666666666666,0.0,0.0,0.0
55,4.5605590358885815,0,59.56666666666666,0.0,0.0,0.0
56,85.93170930037356,0,59.56666666666666,2670.68330264964,106.8273321059856,3.6588361246300076
57,184.93857616358008,0,59.56666666666666,5948.844053231965,237.9537621292786,8.149916352927793
58,471.65017257573027,0,59.56666666666666,15477.942149981784,619.1176859992713,21.204780745475045
59,693.1199237945318,0,59.56666666666666,22927.5278320178,917.1011132807121,31.41071312986439
60,815.0927474143833,0,59.56666666666666,27120.53240098795,1084.821296039518,37.1551293893535
61,747.7008559785296,0,59.56666666666666,24987.654433688174,999.506177347527,34.23308657415281
62,432.31622389668456,0,59.56666666666666,14455.644541132435,578.2257816452974,19.804233021351436
63,117.39461383536495,0,59.56666666666666,3836.226911052542,153.4490764421017,5.255630868141983
64,4.365547148702168,0,59.56666666666666,0.0,0.0,0.0
65,4.344400559303653,0,59.56666666666666,0.0,0.0,0.0
66,4.323356403398114,0,59.56666666666666,0.0,0.0,0.0
67,4.302414184800547,0,59.56666666666666,0.0,0.0,0.0
68,82.02038995140761,0,59.56666666666666,2703.8203768015564,108.15281507206225,3.7042339162181324
