,0,1
0,0.0,241.522945769824
1,0.0,263.5231383473649
2,0.0,349.6029493900505
3,0.0,333.3333333333333
4,0.0,333.3333333333333
5,0.0,529.6749527356901
6,0.0,658.2805886043834
7,0.0,666.6666666666666
8,0.0,714.9203529842406
9,0.0,823.2726023485645
10,0.0,823.2726023485645
11,0.0,774.5966692414834
12,0.0,745.3559924999298
13,0.0,699.205898780101
14,0.0,752.772652709081
15,0.0,716.8604389202187
16,0.0,816.496580927726
17,0.0,950.146187582615
18,0.0,973.2534213770956
19,0.0,1116.7910378500637
20,0.0,1039.4977419675117
21,0.0,1110.5554165971787
22,0.0,1125.4628677422754
23,0.0,1141.3929112175954
24,0.0,1125.4628677422756
25,0.0,1229.2725943057183
26,0.0,1173.7877907772672
27,0.0,977.5252199076787
28,0.0,1028.7532908007308
29,0.0,1100.5049346146118
30,0.0,1131.616346451197
31,0.0,1149.8792207106897
32,0.0,1224.744871391589
33,0.0,1264.9110640673518
34,0.0,1207.6147288491197
35,500.0,1179.689224612426
36,500.0,1312.3346456686352
37,1000.0,1248.3322207382666
38,1000.0,1337.4935098492588
39,1000.0,1452.9663145135578
40,1000.0,1528.4342024147165
41,1000.0,1602.081978759722
42,1000.0,1640.6299603099617
43,1000.0,1532.064692570853
44,1000.0,1517.4906186786718
45,1000.0,1399.4046353122221
46,1000.0,1399.4046353122221
47,1000.0,1423.0249470757708
48,1500.0,1468.181036369683
49,2000.0,1398.411797560202
50,2000.0,1308.0944580232388
51,2000.0,1329.1601358251257
52,2000.0,1316.5611772087666
53,2000.0,1410.2797200870787
54,2000.0,1453.9218991709593
55,2000.0,1457.7379737113251
56,2000.0,1577.621275493231
57,2000.0,1649.9158227686107
58,2000.0,1567.907310185565
59,2000.0,1499.0737881179239
60,2500.0,1414.213562373095
61,2700.0,1438.556375136006
62,2700.0,1410.2797200870784
63,2700.0,1418.1364924121765
64,2700.0,1363.2070031119022
65,2700.0,1383.4337312964756
66,2700.0,1316.5611772087666
67,2700.0,1383.4337312964753
68,2700.0,1300.6408676751114
69,2700.0,1273.6648783028531
70,2700.0,1316.5611772087666
71,2700.0,1442.4131015612538
72,3150.0,1475.7295747452438
