,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,50.0
37,50.0
38,50.0
39,50.0
40,50.0
41,50.0
42,50.0
43,50.0
44,50.0
45,50.0
46,50.0
47,50.0
48,255.0
49,255.0
50,255.0
51,255.0
52,255.0
53,255.0
54,255.0
55,255.0
56,255.0
57,255.0
58,255.0
59,255.0
60,440.0
61,440.0
62,440.0
63,440.0
64,440.0
65,440.0
66,440.0
67,440.0
68,440.0
69,440.0
70,440.0
71,440.0
72,475.0
73,475.0
74,475.0
75,475.0
76,475.0
77,475.0
78,475.0
79,475.0
80,475.0
81,475.0
82,475.0
83,475.0
84,580.0
85,580.0
86,580.0
87,580.0
88,580.0
89,580.0
90,580.0
91,580.0
92,580.0
93,580.0
94,580.0
95,580.0
96,875.0
97,880.0
98,880.0
99,880.0
100,880.0
101,880.0
102,880.0
103,880.0
104,880.0
105,880.0
106,880.0
107,885.0
108,1335.0
109,1400.0
110,1405.0
111,1405.0
112,1405.0
113,1405.0
114,1405.0
115,1405.0
116,1405.0
117,1410.0
118,1415.0
119,1485.0
120,1980.0
121,2250.0
122,2320.0
123,2320.0
124,2320.0
125,2320.0
126,2320.0
127,2320.0
128,2325.0
129,2370.0
130,2455.0
131,2730.0
132,3230.0
133,3645.0
134,3910.0
135,3925.0
136,3925.0
137,3925.0
138,3925.0
139,3925.0
140,3935.0
141,4060.0
142,4345.0
143,4765.0
144,5265.0
145,5750.0
146,6140.0
147,6145.0
148,6145.0
149,6145.0
150,6145.0
151,6145.0
152,6150.0
153,6240.0
154,6690.0
155,7175.0
156,7635.0
157,8130.0
158,8570.0
159,8580.0
160,8580.0
161,8580.0
162,8580.0
163,8580.0
164,8585.0
165,8680.0
166,9170.0
167,9670.0
168,10065.0
169,10535.0
170,10925.0
171,10925.0
172,10925.0
173,10925.0
174,10925.0
175,10925.0
176,10925.0
177,10985.0
178,11430.0
179,11900.0
180,12155.0
181,12590.0
182,12945.0
183,12965.0
184,12965.0
185,12965.0
186,12965.0
187,12965.0
188,12985.0
189,13060.0
190,13520.0
191,13965.0
192,14070.0
193,14385.0
194,14755.0
195,14815.0
196,14815.0
197,14815.0
198,14815.0
199,14815.0
200,14855.0
201,14925.0
202,15370.0
203,15780.0
204,15805.0
205,16030.0
206,16450.0
207,16525.0
208,16545.0
209,16550.0
210,16555.0
211,16570.0
212,16670.0
213,16810.0
214,17255.0
215,17605.0
216,17605.0
217,17815.0
218,18255.0
219,18400.0
220,18435.0
221,18480.0
222,18510.0
223,18535.0
224,18630.0
225,18840.0
226,19325.0
227,19600.0
228,19600.0
229,19725.0
230,20215.0
231,20415.0
232,20465.0
233,20535.0
234,20585.0
235,20595.0
236,20755.0
237,21025.0
238,21520.0
239,21785.0
240,21785.0
241,21870.0
242,22370.0
243,22630.0
244,22710.0
245,22800.0
246,22870.0
247,22945.0
248,23120.0
249,23470.0
250,23965.0
251,24165.0
252,24165.0
253,24265.0
254,24765.0
255,25075.0
256,25220.0
257,25340.0
258,25455.0
259,25565.0
260,25790.0
261,26150.0
262,26650.0
263,26770.0
264,26770.0
265,26830.0
266,27330.0
267,27730.0
268,27895.0
269,28060.0
270,28210.0
271,28315.0
272,28610.0
273,29055.0
274,29555.0
275,29620.0
276,29620.0
277,29685.0
278,30185.0
279,30605.0
280,30820.0
281,30980.0
282,31165.0
283,31325.0
284,31630.0
285,32075.0
286,32575.0
287,32670.0
288,32670.0
289,32700.0
290,33200.0
291,33665.0
292,33880.0
293,34080.0
294,34255.0
295,34425.0
296,34760.0
297,35235.0
298,35720.0
299,35755.0
300,35755.0
301,35805.0
302,36305.0
303,36765.0
304,37000.0
305,37215.0
306,37370.0
307,37560.0
308,37885.0
309,38380.0
310,38855.0
311,38880.0
312,38880.0
313,38910.0
314,39410.0
315,39900.0
316,40165.0
317,40415.0
318,40630.0
319,40835.0
320,41235.0
321,41715.0
322,42185.0
323,42200.0
324,42200.0
325,42225.0
326,42725.0
327,43220.0
328,43490.0
329,43745.0
330,43955.0
331,44170.0
332,44545.0
333,45020.0
334,45480.0
335,45490.0
336,45490.0
337,45495.0
338,45995.0
339,46490.0
340,46730.0
341,46970.0
342,47190.0
343,47365.0
344,47755.0
345,48250.0
346,48720.0
347,48740.0
348,48740.0
349,48750.0
350,49250.0
351,49745.0
352,50025.0
353,50275.0
354,50545.0
355,50780.0
356,51200.0
357,51700.0
358,52135.0
359,52140.0
