,0,1,1ger approx,1 ger rounded
203,38108.31585,3296.565234,2117.128658,38.1
204,38118.14178,3321.239321,2117.674543,38.1
205,38126.64309,3323.468887,2118.146838,38.1
206,38135.34887,3333.566208,2118.630493,38.1
207,38153.32586,3333.092934,2119.629214,38.2
208,38159.31751,3336.321633,2119.962084,38.2
209,38177.26861,3342.12055,2120.959367,38.2
210,38192.29147,3341.215306,2121.793971,38.2
211,38205.49256,3350.600323,2122.527364,38.2
212,38217.73533,3361.386309,2123.207518,38.2
213,38221.86109,3369.955541,2123.436727,38.2
214,38232.02754,3374.001168,2124.00153,38.2
215,38243.68844,3373.18427,2124.649358,38.2
216,38259.95292,3385.305014,2125.55294,38.3
217,38277.75526,3381.451347,2126.541959,38.3
218,38289.39294,3388.450878,2127.188497,38.3
219,38306.89712,3404.241451,2128.160951,38.3
220,38315.94702,3404.26027,2128.663723,38.3
221,38332.92444,3407.375854,2129.606913,38.3
222,38338.12244,3434.313688,2129.895691,38.3
223,38352.64616,3423.867787,2130.702564,38.4
224,38360.90894,3429.132937,2131.161608,38.4
225,38373.18196,3426.139545,2131.843442,38.4
226,38383.26882,3439.326237,2132.403823,38.4
227,38392.90812,3447.037288,2132.93934,38.4
228,38404.53917,3456.490464,2133.585509,38.4
229,38422.80812,3467.994519,2134.600451,38.4
230,38439.54255,3464.716476,2135.530141,38.4
231,38456.39304,3471.133607,2136.46628,38.5
232,38475.56772,3475.928052,2137.53154,38.5
233,38487.08056,3484.010524,2138.171142,38.5
234,38498.6766,3501.085739,2138.815367,38.5
235,38507.36878,3514.455206,2139.298266,38.5
236,38514.25411,3519.657226,2139.680784,38.5
237,38524.38572,3527.288018,2140.243651,38.5
238,38538.28937,3532.807733,2141.016076,38.5
239,38545.61857,3544.654048,2141.423254,38.5
240,38562.21351,3559.212799,2142.345195,38.6
241,38573.53991,3573.144744,2142.97444,38.6
242,38587.50814,3581.114824,2143.750452,38.6
243,38605.01088,3589.913262,2144.722826,38.6
244,38623.62516,3610.149988,2145.756953,38.6
245,38631.5545,3634.371528,2146.197472,38.6
246,38637.86231,3644.135491,2146.547906,38.6
247,38644.59227,3651.097714,2146.921793,38.6
248,38652.31003,3666.854725,2147.350557,38.7
249,38663.06481,3673.526173,2147.948045,38.7
250,38676.1437,3688.099759,2148.67465,38.7
251,38684.85931,3689.119896,2149.15885,38.7
252,38694.4819,3688.69984,2149.693439,38.7
253,38703.03995,3698.556924,2150.168886,38.7
254,38708.21884,3696.009265,2150.456602,38.7
255,38723.8918,3703.369539,2151.327322,38.7
256,38740.50172,3709.387997,2152.250095,38.7
257,38758.98456,3724.544533,2153.27692,38.8
258,38777.30968,3731.711862,2154.294982,38.8
259,38788.09611,3745.762237,2154.894228,38.8
260,38805.07968,3747.131001,2155.83776,38.8
261,38815.02361,3744.511332,2156.390201,38.8
262,38831.76301,3756.653057,2157.320167,38.8
263,38848.00583,3761.297264,2158.222546,38.8
264,38858.17298,3769.89016,2158.787388,38.9
265,38871.04178,3775.918638,2159.502321,38.9
266,38879.5757,3789.697291,2159.976428,38.9
267,38895.79656,3783.672843,2160.877587,38.9
268,38905.02595,3781.972113,2161.390331,38.9
269,38914.85427,3778.8328,2161.936349,38.9
270,38930.24556,3788.661235,2162.79142,38.9
271,38934.86779,3817.371094,2163.04821,38.9
272,38946.04299,3830.710815,2163.669055,38.9
273,38962.76978,3820.97944,2164.598321,39
274,38979.89625,3824.051172,2165.549792,39
275,38984.88273,3835.579574,2165.826819,39
276,38993.8902,3832.823279,2166.327233,39
277,39005.74238,3844.057202,2166.985688,39
278,39019.91991,3835.639207,2167.773329,39
279,39035.86071,3842.377892,2168.658928,39
280,39055.11566,3853.154266,2169.728648,39.1
281,39068.17111,3861.935045,2170.453951,39.1
282,39081.03933,3861.374103,2171.168851,39.1
283,39095.74086,3877.555343,2171.985603,39.1
284,39105.85519,3894.838349,2172.547511,39.1
285,39116.30011,3907.573817,2173.127784,39.1
286,39121.60236,3918.468246,2173.422353,39.1
287,39137.89049,3926.881734,2174.327249,39.1
288,39141.83577,3918.92702,2174.546431,39.1
289,39154.72819,3921.973435,2175.262677,39.2
290,39170.74654,3929.41574,2176.152585,39.2
291,39185.00795,3945.225539,2176.944886,39.2
292,39193.79535,3948.009344,2177.433075,39.2
293,39202.3546,3968.641817,2177.908589,39.2
294,39207.18205,3972.856351,2178.176781,39.2
295,39214.0936,3966.359415,2178.560756,39.2
296,39218.59407,3963.552636,2178.810782,39.2
297,39225.24545,3967.215371,2179.180303,39.2
298,39230.24386,3973.289667,2179.457992,39.2
299,39234.67214,3983.669869,2179.704008,39.2
300,39250.14184,3991.106103,2180.563436,39.3
301,39261.56057,3992.591958,2181.19781,39.3
302,39266.3892,4001.581769,2181.466067,39.3
303,39281.94515,4003.879,2182.330286,39.3
304,39294.87937,4011.121177,2183.048854,39.3
305,39304.18796,4015.56154,2183.565998,39.3
306,39320.99076,4040.546964,2184.499487,39.3
307,39327.83707,4032.177105,2184.879837,39.3
308,39344.69564,4026.292964,2185.816424,39.3
309,39363.1749,4032.045807,2186.84305,39.4
310,39378.81632,4033.252642,2187.712018,39.4
311,39387.26707,4048.070884,2188.181504,39.4
312,39396.81616,4066.250625,2188.712009,39.4
313,39416.21809,4057.815406,2189.789894,39.4
314,39423.30432,4060.872867,2190.183573,39.4
315,39429.41437,4066.528545,2190.523021,39.4
316,39444.58144,4068.121632,2191.365636,39.4
317,39453.57715,4070.610473,2191.865397,39.5
318,39459.27217,4075.529375,2192.181787,39.5
319,39476.04388,4080.730739,2193.113549,39.5
320,39489.627,4078.806279,2193.868167,39.5
321,39501.79997,4088.234051,2194.544443,39.5
322,39519.57258,4108.551807,2195.53181,39.5
323,39532.09814,4124.359355,2196.227674,39.5
324,39538.80475,4132.472423,2196.600264,39.5
325,39547.62977,4141.440484,2197.090543,39.5
326,39555.45109,4145.013527,2197.525061,39.6
327,39565.22397,4151.019991,2198.067998,39.6
328,39580.17346,4146.096944,2198.898526,39.6
329,39597.7649,4165.551773,2199.875828,39.6
330,39610.1627,4172.266507,2200.564594,39.6
331,39620.6749,4190.806469,2201.148605,39.6
332,39636.34807,4196.079937,2202.019337,39.6
333,39641.19014,4197.051702,2202.288341,39.6
334,39650.72412,4208.935125,2202.818007,39.7
335,39670.07178,4207.241362,2203.892876,39.7
336,39675.94001,4205.11245,2204.21889,39.7
337,39686.55132,4215.965858,2204.808406,39.7
338,39702.21737,4215.777809,2205.678743,39.7
